cumulative_penicillin,substrate,RQ,specific_production_rate,substrate_rate,base_flow,DO,OUR,viscosity,penicillin,batch_id,time
58.201,1.2054,0.0006860273906819,-0.0007683710533635,0.23175,15.459,14.678,0.83313,74.573,0.001,2,0.2
58.17082372,1.2525,0.0041164696911496,-0.0007683710533635,0.2281666666666667,29.557,14.659,0.15738,74.573,0.00099943,2,0.4
58.14047872,1.2981,0.0,-0.0007683710533635,0.224375,36.685,14.645,-0.005903,74.573,0.00099884,2,0.6
58.11112725,1.3423,0.0,-0.0007683710533635,0.2198999999999999,33.662,14.641,-0.045769,74.573,0.00099825,2,0.8
58.08068994,1.3849,0.0,-5.027105099317596e-06,0.2113000000000001,22.062,14.605,-0.041518,4.0833,0.00099771,2,1.0
58.05116786,1.4253,0.0,-5.027105099317596e-06,0.2024999999999999,7.5714,14.585,-0.034436,4.0833,0.00099722,2,1.2
58.0208175,1.4638,0.0,-5.027105099317596e-06,0.1934,0.0,14.561,-0.024543,4.0833,0.00099675,2,1.4
57.99146624,1.5006,0.0,-5.027105099317596e-06,0.1836999999999999,0.0,14.553,-0.021413,4.0833,0.00099628,2,1.6
57.96095274,1.5357,0.0,-5.027105099317596e-06,0.1736999999999999,7.3798,14.534,-0.015122,4.0833,0.00099579,2,1.8
57.931512000000005,1.5686,0.0,-5.027105099317596e-06,0.1634,19.166,14.516,-0.0087395,4.0833,0.00099525,2,2.0
57.90189958999999,1.599,0.5583345052315388,-5.027105099317596e-06,0.1527,29.191,14.489,0.0014214,4.0833,0.00099469,2,2.2
57.87211365,1.6272,0.0675956784886413,-5.027105099317596e-06,0.1413,32.772,14.464,0.012002,4.0833,0.00099411,2,2.4
57.84191172,1.6533,0.0300854576863518,-5.027105099317596e-06,0.1298999999999999,28.762,14.427,0.027577,4.0833,0.00099354,2,2.6
57.81204919,1.677,0.0234602025105051,-5.027105099317596e-06,0.1331,18.974,14.406,0.036179,4.0833,0.00099301,2,2.8
57.78252936,1.6985,0.017786377814028,-5.027105099317596e-06,0.1352999999999999,8.7435,14.373,0.048837,4.0833,0.00099252,2,3.0
57.75242834,1.7321,0.0149242500527305,-5.027105099317596e-06,0.1374999999999999,3.8356,14.347,0.059582,4.0833,0.00099202,2,3.2
57.7221555,1.7625,0.0126358632807771,-5.027105099317596e-06,0.1394999999999999,6.8399,14.313,0.07207,4.0833,0.0009915,2,3.4
57.69270023999999,1.7908,0.0109113873715814,-5.027105099317596e-06,0.1408,15.689,14.28,0.085507,4.0833,0.00099096,2,3.6
57.66289473999999,1.8165,0.0095384871153858,-5.027105099317596e-06,0.1543,25.106,14.243,0.10025,4.0833,0.00099038,2,3.8
57.63349212,1.8393,0.0086848866051162,-5.027105099317596e-06,0.1688999999999999,29.763,14.211,0.11288,4.0833,0.00098979,2,4.0
57.60367672,1.8864,0.0078607918262066,-5.027105099317596e-06,0.1832,27.623,14.161,0.12789,4.0833,0.00098921,2,4.2
57.5730441,1.9314,0.0071137482175714,-5.027105099317596e-06,0.1968,19.691,14.119,0.14494,4.0833,0.00098865,2,4.4
57.543750550000006,1.974,0.0066485404747736,-5.027105099317596e-06,0.2108999999999998,10.917,14.083,0.15907,4.0833,0.00098813,2,4.6
57.51346835,2.0133,0.0063415156827747,-5.027105099317596e-06,0.1978,6.9147,14.048,0.1711,4.0833,0.00098761,2,4.8
57.48417324,2.0502,0.0060966016936222,-5.027105099317596e-06,0.1835,9.9541,14.013,0.18264,4.0833,0.00098709,2,5.0
57.45429472,2.0842,0.0058767419138695,-5.027105099317596e-06,0.1681999999999998,18.174,13.979,0.19447,4.0833,0.00098656,2,5.2
57.4240576,2.1149,0.0055915669732488,-5.027105099317596e-06,0.1526,26.268,13.934,0.20981,4.0833,0.00098599,2,5.4
57.39480248,2.1422,0.0054124352175982,-5.027105099317596e-06,0.1358000000000001,30.587,13.898,0.22254,4.0833,0.00098542,2,5.6
